,Year,Company Name,Country,GICS Sub-Industry,Industry (Exiobase),Environmental Intensity (Sales),Environmental Intensity (Op Inc),Total Environmental Cost,Working Capacity,Fish Production Capacity,Crop Production Capacity,Meat Production Capacity,Biodiversity,Abiotic Resources,Water production capacity (Drinking water & Irrigation Water),Wood Production Capacity,SDG 1.5,SDG 2.1,SDG 2.2,SDG 2.3,SDG 2.4,SDG 3.3,SDG 3.4,SDG 3.9,SDG 6,SDG 12.2,SDG 14.1,SDG 14.2,SDG 14.3,SDG 14.c,SDG 15.1,SDG 15.2,SDG 15.5,% Imputed
5728,2016,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-2.381480140978228,-23.947160330750606,-116335304.88678645,-62324023.51075244,-18949.115196488532,-825729.0717434975,-190864.39548924065,-3104.891924215244,-35818.49706185697,-52950831.10834468,14015.703725966596,-27499806.162529424,-19082722.408285737,-19061327.31175781,-206432.26793587438,-206432.26793587438,-3121976.0966441557,5833314.2344612535,-4784.747767933145,-52950831.10834468,-35818.49706185697,-514.0199667432391,-150.9856243241057,-8641.781919593974,-612.6755921164247,7007.851862983298,7007.851862983298,-2584.4936075197165,0.1405865909287864
5731,2016,HEINEKEN NV,NETHERLANDS,Brewers,Manufacture of beverages,-2.375952181401798,-16.287767146622546,-521293521.8382352,-453476185.752713,-115132.10139739735,-6068511.170849167,-1412187.8944855304,-20105.70676469931,-161822.8446445655,-60073308.43060448,33732.063223799036,-202976108.60762286,-125698230.95369995,-125586346.92689736,-1517127.7927122917,-1517127.7927122917,-20369859.223672003,16660813.116799558,-10531.588783684507,-60073308.43060448,-161822.8446445655,-1190.8886129409325,-137.8011090060721,-55954.67114626346,-1419.45533886771,16866.031611899518,16866.031611899518,-18900.040701816775,0.07706006515749546
5735,2016,HEINEKEN HOLDING NV,NETHERLANDS,Brewers,Manufacture of beverages,-2.3549836702377513,-16.348854915386752,-516692945.6490457,-453476185.752713,-115132.10139739735,-6068511.170849167,-1412187.8944855304,-20105.70676469931,-161822.8446445655,-55472732.241414964,33732.063223799036,-202976108.60762286,-125698230.95369995,-125586346.92689736,-1517127.7927122917,-1517127.7927122917,-20369859.223672003,16660813.116799558,-10531.588783684507,-55472732.241414964,-161822.8446445655,-1190.8886129409325,-137.8011090060721,-55954.67114626346,-1419.45533886771,16866.031611899518,16866.031611899518,-18900.040701816775,0.07765512820057176
5780,2016,KIRIN HOLDINGS CO LTD,JAPAN,Brewers,Manufacture of beverages,-2.035439484276033,-29.767490155238725,-362071320.5339455,-338513568.0901828,-81169.1974318314,-4501901.079841385,-1052312.2984953597,-14510.182052182045,-38212.087365214495,-17881386.517725777,11738.919149195355,-151144655.69090626,-90462376.0691259,-90407224.64046875,-1125475.2699603462,-1125475.2699603462,-14616663.225982772,4778067.126840831,-4618.529960424644,-17881386.517725777,-38212.087365214495,-451.43281,-111.00457699351726,-39885.61746142543,-538.07611,5869.459574597678,5869.459574597678,-14053.147521182045,0.010410967522475754
5832,2016,SAPPORO HOLDINGS LTD,JAPAN,Brewers,Manufacture of beverages,-1.7560024292985303,-46.94748351054033,-81565211.17893465,-76257237.97466125,-19268.28543831703,-1015189.7003969249,-237256.2175845276,-3363.131662093826,-9978.027200325474,-4027964.292252196,5046.450260991027,-34098582.12754889,-21040510.114934556,-21027072.248435877,-253797.42509923122,-253797.42509923122,-3409233.0900249653,2564865.9039492905,-1206.0010522373761,-4027964.292252196,-9978.027200325474,-184.9058640797782,-28.985767723597927,-9372.563754929923,-220.39476497119423,2523.2251304955134,2523.2251304955134,-3175.9313456860505,0.07735425933996905
5918,2016,ASAHI GROUP HOLDINGS LTD,JAPAN,Brewers,Manufacture of beverages,-1.4057085162508447,-17.13958849146439,-205686973.58432975,-191005858.958814,-44700.39326082453,-2531706.982135396,-591100.8931801937,-8049.840683862106,-31432.313192216163,-11477272.776224859,3148.573161653681,-84874726.51012787,-50034355.20962105,-50000022.7007826,-632926.745533849,-632926.745533849,-8072290.8826035345,99985.19657814226,-3799.087938228004,-11477272.776224859,-31432.313192216163,-151.17265000000003,-91.3096056879101,-22034.9209368804,-180.18715,1574.2865808268405,1574.2865808268405,-7896.792168862105,0.0155326318560255
7014,2015,COMPANIA CERVECERIAS UNIDAS,CHILE,Brewers,Manufacture of beverages,-4.69253945401992,-35.691971225360966,-99239929.52189495,-43447677.56766507,-10348.794633637122,-490399.13230058167,-113650.5717433925,-46602.610233482825,-55019.4528036134,-55074280.253921285,-1951.138593876796,-16309096.177515367,-9517303.809078047,-9505233.979762858,-122560.4061082954,-122719.29921448689,-1533178.653445182,-6935141.719766588,-11862.570188179376,-55074280.253921285,-55019.452803613385,-101.71834459533692,-389.89210628165375,-4469.580254248802,-121.24110158386229,-975.569296938398,-45867.452965469,-1607.7460219318993,0.10630338617975457
7015,2015,ANHEUSER-BUSCH INBEV,BELGIUM,Brewers,Manufacture of beverages,-4.320402047305518,-14.832439246571907,-1708027859.4403775,-1535573148.0151002,-377187.24133883585,-20636925.74977878,-4772449.602055058,-66795.18298540861,-166736.6049326264,-146519528.92260042,84911.8784138804,-685669195.6086305,-416648538.36309105,-416110250.38613385,-5159228.091172709,-5159377.2276568245,-67381531.84163971,34965644.62337754,-8762.15170327475,-146519528.92260042,-166736.6049326264,-2933.029881634983,-244.1180949209067,-184767.87377590942,-3495.9650124321097,42455.9392069402,42455.9392069402,-63825.757842468665,0.06438210523955272
7017,2015,MOLSON COORS BEVERAGE CO,UNITED STATES OF AMERICA,Brewers,Manufacture of beverages,-3.84184359646084,-36.04886120561296,-137057770.30374047,-69903568.78957042,-19400.517538328142,-927396.8261085491,-215444.10144286833,-3280.908097914306,-26041.44670474963,-65972827.67844555,10189.96416792697,-31000760.050442334,-20273287.467685584,-20254920.51140834,-231849.20652713728,-231849.20652713728,-3301067.0626937672,4241047.341725193,-3478.6985556406516,-65972827.67844555,-26041.44670474963,-373.71259732100174,-109.77244752144001,-9094.79831628322,-445.4390912004846,5094.982083963485,5094.982083963485,-2902.5581909915104,0.09486706242769007
7020,2015,CARLSBERG A/S,DENMARK,Brewers,Manufacture of beverages,-2.9775131301948323,-24.845811173487366,-283260102.00186247,-233866834.6156605,-78063.32190497001,-3033304.11540515,-714082.658607162,-11660.546145044458,-351089.21246872697,-45248173.64148633,43106.109815468655,-102979410.85706556,-74559001.5603761,-74512625.56449485,-758303.2634435146,-758602.3217342836,-12244811.16244945,28194161.08916052,-34797.69803863532,-45248173.64148633,-351089.21246872697,-1628.49434,-276.57563325145867,-36695.95455660782,-1941.05054,21553.054907734328,21436.900812395535,-9895.690115705667,0.022967985148977313
7024,2015,AMBEV SA,BRAZIL,Brewers,Manufacture of beverages,-2.0951932599897147,-5.786155105365806,-247099786.73207113,-184224187.24145547,-52450.2155834034,-2368347.933911833,-554554.1677384559,-8402.460071694284,-137645.5463531933,-59772554.2132568,18355.046299774924,-79810031.81035145,-52495567.07280145,-52459751.195916824,-592086.9834779582,-592086.9834779582,-8553870.737210436,7345311.337948859,-15431.420030296082,-59772554.2132568,-137645.5463531933,-802.7087136158326,-400.82884017466847,-24677.05290773967,-956.7722427740935,9177.523149887462,9177.523149887462,-7589.790739004385,0.14249290175552745
7026,2015,KIRIN HOLDINGS CO LTD,JAPAN,Brewers,Manufacture of beverages,-2.0015746302101034,-35.24869014656662,-365625725.4125437,-343595993.8102961,-80698.28908811518,-4562518.921194886,-1066674.629869036,-14523.696039098339,-37948.52228945133,-16273847.993208783,6480.449441813079,-153168878.11571172,-90493318.56409976,-90438503.0632578,-1140629.7302987215,-1140629.7302987215,-14603753.322745562,1724707.5750308381,-4586.673988064392,-16273847.993208783,-37948.52228945133,-273.15334,-110.23893104840752,-39861.59610148498,-325.57954,3240.2247209065395,3240.2247209065395,-14247.153205098339,0.010541743112787437
